year,month,day,hour,Greenhouse Solar Radiation (W/m2),Greenhouse Air Temperature (C)
2013,4,10,21,0,18.6325
2013,4,10,22,0,16.6875
2013,4,10,23,0,14.72
2013,4,11,0,0,13.1875
2013,4,11,1,0,12.215
2013,4,11,2,0,11.5575
2013,4,11,3,0,11.0325
2013,4,11,4,0,10.3175
2013,4,11,5,0,9.68
2013,4,11,6,0,9.1575
2013,4,11,7,0,8.91
2013,4,11,8,82.68,10.82
2013,4,11,9,237.75,19.705
2013,4,11,10,359.8,24.9375
2013,4,11,11,460.425,24.7025
2013,4,11,12,540.725,24.9625
2013,4,11,13,577.775,24.7025
2013,4,11,14,645.475,24.365
2013,4,11,15,649.825,24.4625
2013,4,11,16,571.675,24.45
2013,4,11,17,452.625,24.1375
2013,4,11,18,327.55,24.3075
2013,4,11,19,200.675,24.3075
2013,4,11,20,58.4225,24.09
2013,4,11,21,0,20.3025
2013,4,11,22,0,18.7025
2013,4,11,23,0,17.87
2013,4,12,0,0,16.0625
2013,4,12,1,0,14.8325
2013,4,12,2,0,14.97
2013,4,12,3,0,13.935
2013,4,12,4,0,13.0775
2013,4,12,5,0,12.5575
2013,4,12,6,0,12.1325
2013,4,12,7,0,11.795
2013,4,12,8,58.3375,12.8875
2013,4,12,9,116.325,17.5375
2013,4,12,10,194,22.1275
2013,4,12,11,202.025,25.2425
2013,4,12,12,264.65,25.3875
2013,4,12,13,322.1,24.9975
2013,4,12,14,216.125,25.345
2013,4,12,15,461.425,24.615
2013,4,12,16,249.7,24.5925
2013,4,12,17,111,25.545
2013,4,12,18,78.625,24.84
2013,4,12,19,66.0275,24.51
2013,4,12,20,22.448,22.2725
2013,4,12,21,0,19.3875
2013,4,12,22,0,17.4
2013,4,12,23,0,16.4375
2013,4,13,0,0,15.8025
2013,4,13,1,0,14.89
2013,4,13,2,0,13.66
2013,4,13,3,0,12.4575
2013,4,13,4,0,12.075
2013,4,13,5,0,11.305
2013,4,13,6,0,10.335
2013,4,13,7,0,9.7325
2013,4,13,8,78.5825,11.3575
2013,4,13,9,230.375,20.99
2013,4,13,10,362.625,25.0925
2013,4,13,11,465.875,25.045
2013,4,13,12,547.575,24.8825
2013,4,13,13,592.275,24.735
2013,4,13,14,652.925,24.875
2013,4,13,15,662.625,24.6425
2013,4,13,16,579.425,24.57
2013,4,13,17,486.675,24.515
2013,4,13,18,352.375,24.155
2013,4,13,19,205.775,24.425
2013,4,13,20,55.9305,24.1825
2013,4,13,21,0,21.565
2013,4,13,22,0,19.9625
2013,4,13,23,0,19.095
2013,4,14,0,0,17.5725
2013,4,14,1,0,16.2325
2013,4,14,2,0,15.1475
2013,4,14,3,0,14.3075
2013,4,14,4,0,13.7425
2013,4,14,5,0.975,13.035
2013,4,14,6,0.2425,12.6725
2013,4,14,7,0.5035,12.68
2013,4,14,8,84.15,15.6125
2013,4,14,9,230.1,23.41
2013,4,14,10,353,25.2775
2013,4,14,11,486.225,25.0675
2013,4,14,12,604.025,24.82
2013,4,14,13,662.35,24.945
2013,4,14,14,650.45,24.82
2013,4,14,15,658.6,24.7525
2013,4,14,16,589.65,24.5325
2013,4,14,17,488.775,24.4775
2013,4,14,18,352.125,24.145
2013,4,14,19,204.425,24.1825
2013,4,14,20,56.9615,24.5875
2013,4,14,21,0,22.05
2013,4,14,22,0,20.8175
2013,4,14,23,0,19.33
2013,4,15,0,0,18.2875
2013,4,15,1,0,17.48
2013,4,15,2,0,17.7375
2013,4,15,3,0,16.9825
2013,4,15,4,0,16.1425
2013,4,15,5,0,15.8775
2013,4,15,6,0,15.25
2013,4,15,7,0,15.0225
2013,4,15,8,92.11,17.51
2013,4,15,9,230.1,24.42
2013,4,15,10,361.8,25.18
2013,4,15,11,497.8,24.88
2013,4,15,12,615,24.93
2013,4,15,13,671.075,24.9475
2013,4,15,14,661.5,24.9875
2013,4,15,15,669.925,25.0225
2013,4,15,16,595.4,24.97
2013,4,15,17,497.675,24.7175
2013,4,15,18,360.5,24.45
2013,4,15,19,215.075,24.4875
2013,4,15,20,65.37325,24.485
2013,4,15,21,0,22.31
2013,4,15,22,0,20.63
2013,4,15,23,0,19.1225
2013,4,16,0,0,18.2425
2013,4,16,1,0,18.08
2013,4,16,2,0,16.94
2013,4,16,3,0,16.665
2013,4,16,4,0,16.5075
2013,4,16,5,0,15.8125
2013,4,16,6,0,15.11
2013,4,16,7,0.17675,14.87
2013,4,16,8,102.9725,17.66
2013,4,16,9,242.725,24.64
2013,4,16,10,372.95,25.14
2013,4,16,11,507.925,24.7075
2013,4,16,12,625.8,24.5725
2013,4,16,13,676.3,24.8175
2013,4,16,14,661.75,24.975
2013,4,16,15,671.325,24.9675
2013,4,16,16,595.85,24.8725
2013,4,16,17,497.575,24.62
2013,4,16,18,361.075,24.3275
2013,4,16,19,216.575,24.435
2013,4,16,20,63.199,24.42
2013,4,16,21,0,21.7475
2013,4,16,22,0,20.0475
2013,4,16,23,0,18.405
2013,4,17,0,0,17.19
